rank,character_tag,copyrights,post_count,recent_post_count,first_seen_at,character_age_days,recent_ratio,growth_score,birth_confidence,lifecycle_notes
1,sakayori_iroha,cho_kaguya-hime!|world_is_mine_(vocaloid)|vocaloid|watashi_ga_koibito_ni_nareru_wake_naijan_murimuri!|lycoris_recoil,5404,5404,2025-12-01T11:22:42.035000+00:00,151,1.0,0.745787,0.0,
2,kaguya_(cho_kaguya-hime!),cho_kaguya-hime!|world_is_mine_(vocaloid)|dragon_ball|dragon_ball_z|vocaloid,4095,4095,2025-11-19T00:22:15.300000+00:00,164,1.0,0.687043,0.0,
3,runami_yachiyo,cho_kaguya-hime!|vocaloid|world_is_mine_(vocaloid)|bocchi_the_rock!|watashi_ga_koibito_ni_nareru_wake_naijan_murimuri!,3529,3529,2025-12-02T02:20:41.593000+00:00,151,1.0,0.665894,0.0,
4,hatsune_miku,vocaloid|utau|pokemon|project_sekai|project_voltage,38898,10561,2024-05-04T16:34:33.708000+00:00,727,0.271505,0.61547,0.0,
5,aemeath_(wuthering_waves),wuthering_waves|honkai:_star_rail|honkai_(series)|blade_runner_(series)|blade_runner_2049,1977,1977,2025-12-04T14:01:40.722000+00:00,148,1.0,0.600449,0.0,
6,kei_(new_body)_(blue_archive),blue_archive|jujutsu_kaisen|original|precure|meitantei_precure!,2604,2573,2025-02-04T03:02:50.368000+00:00,452,0.988095,0.552867,0.0,
7,cyrene_(demiurge)_(honkai:_star_rail),honkai:_star_rail|honkai_(series)|honkai_impact_3rd|mihoyo|genshin_impact,4395,3030,2025-07-14T09:09:42.615000+00:00,292,0.68942,0.519266,0.0,
8,chisa_(wuthering_waves),wuthering_waves|samsung|blue_archive|comiket_107|kill_la_kill,2617,2159,2025-05-30T00:20:19.638000+00:00,337,0.82499,0.512551,0.0,
9,columbina_(genshin_impact),genshin_impact|honkai_(series)|honkai:_star_rail|mihoyo|zenless_zone_zero,5900,4555,2024-05-07T01:16:27.191000+00:00,725,0.772034,0.510172,0.0,
10,sunna_(zenless_zone_zero),zenless_zone_zero|sanrio|fuwa_fuwa_cinnamoroll|my_melody_(series)|hello_kitty,2594,2444,2024-07-17T03:51:22.742000+00:00,654,0.942174,0.487475,0.0,
11,hakurei_reimu,touhou|touhou_(pc-98)|embodiment_of_scarlet_devil|cookie_(touhou)|imperishable_night,17490,6535,2024-05-04T17:44:33.982000+00:00,727,0.373642,0.474565,0.0,
12,aria_(zenless_zone_zero),zenless_zone_zero|sanrio|my_melody_(series)|fuwa_fuwa_cinnamoroll|hello_kitty,1970,1911,2024-07-17T03:51:22.742000+00:00,654,0.970051,0.473127,0.0,
13,kei_(blue_archive),blue_archive|jujutsu_kaisen|original|precure|comiket_107,3373,2798,2024-05-07T23:59:51.728000+00:00,724,0.829529,0.452783,0.0,
14,endministrator_(arknights),arknights|arknights:_endfield|hololive|hololive_english|honkai:_star_rail,2049,1895,2024-06-02T00:07:37.686000+00:00,699,0.924841,0.448609,0.0,
15,sandrone_(genshin_impact),genshin_impact|honkai_(series)|honkai:_star_rail|mihoyo|alice's_adventures_in_wonderland,3339,2661,2024-05-26T09:43:57.934000+00:00,705,0.796945,0.441509,0.0,
16,cyrene_(honkai:_star_rail),honkai_(series)|honkai:_star_rail|honkai_impact_3rd|mihoyo|genshin_impact,7249,3562,2024-11-22T01:52:22.896000+00:00,526,0.491378,0.429098,0.0,
17,tendou_akane,ranma_1/2|inuyasha|urusei_yatsura|mao_(takahashi_rumiko)|kyoukai_no_rinne,2674,2126,2024-05-11T15:40:11.595000+00:00,720,0.795064,0.414724,0.0,
18,leon_s._kennedy,resident_evil|resident_evil_requiem|resident_evil_4|resident_evil_2|resident_evil_4_(remake),2274,1818,2024-05-07T07:01:26.562000+00:00,725,0.799472,0.401781,0.0,
19,kirisame_marisa,touhou|touhou_(pc-98)|cookie_(touhou)|curiosities_of_lotus_asia|touhou_lostword,13379,4861,2024-05-04T17:43:43.117000+00:00,727,0.363331,0.400143,0.0,
20,usami_renko,"touhou|magical_astronomy|ghostly_field_club|dateless_bar_""old_adam""|retrospective_53_minutes",3680,2302,2024-05-04T21:40:33.435000+00:00,727,0.625543,0.369769,0.0,
21,kim_dokja,omniscient_reader's_viewpoint|no_i'm_not_a_human|original|honkai:_star_rail|honkai_(series),4154,2473,2024-05-08T06:21:02.547000+00:00,724,0.59533,0.368676,0.0,
22,sensei_(blue_archive),blue_archive|comiket_107|blue_archive_the_animation|comiket_105|jujutsu_kaisen,19830,4929,2024-05-04T16:28:45.675000+00:00,727,0.248563,0.36861,0.0,
23,maribel_hearn,"touhou|taboo_japan_disentanglement|dateless_bar_""old_adam""|ghostly_field_club|magical_astronomy",3463,2176,2024-05-04T21:40:33.435000+00:00,727,0.628357,0.365244,0.0,
24,scaramouche_(genshin_impact),genshin_impact|original|marvel|spider-man_(series)|pokemon,17337,4529,2024-05-04T16:47:01.718000+00:00,727,0.261233,0.355367,0.0,
25,komeiji_koishi,touhou|touhou_lostword|subterranean_animism|koishi_komeiji's_heart-throbbing_adventure|touhou_hero_of_ice_fairy,9120,3413,2024-05-04T16:34:25.196000+00:00,727,0.374232,0.341715,0.0,
26,yoo_joonghyuk,omniscient_reader's_viewpoint|no_i'm_not_a_human|original|honkai:_star_rail|honkai_(series),3446,1958,2024-05-11T07:41:38.487000+00:00,721,0.568195,0.339276,0.0,
27,frieren,sousou_no_frieren|one-punch_man|chainsaw_man|dungeon_meshi|jujutsu_kaisen,8332,3152,2024-05-04T17:00:33.198000+00:00,727,0.378301,0.331814,0.0,
28,reze_(chainsaw_man),chainsaw_man|boku_no_hero_academia|iris_out_(song)|hololive|hololive_english,6585,2660,2024-05-05T02:38:16.402000+00:00,727,0.403948,0.318544,0.0,
29,phainon_(honkai:_star_rail),honkai_(series)|honkai:_star_rail|honkai_impact_3rd|mihoyo|genshin_impact,8413,2356,2024-11-21T23:33:57.682000+00:00,526,0.280043,0.31431,0.0,
