rank,character_tag,copyrights,post_count,recent_post_count,popularity_score,copyright_confidence,needs_review,notes
1,hatsune_miku,vocaloid|utau|pokemon|project_sekai|project_voltage,38898,10461,1.0,1.0,False,
2,hakurei_reimu,touhou|touhou_(pc-98)|embodiment_of_scarlet_devil|cookie_(touhou)|imperishable_night,17490,6503,0.833554,1.0,False,
3,sensei_(blue_archive),blue_archive|comiket_107|blue_archive_the_animation|comiket_105|jujutsu_kaisen,19830,4853,0.794551,1.0,False,
4,scaramouche_(genshin_impact),genshin_impact|original|marvel|spider-man_(series)|pokemon,17337,4425,0.773379,1.0,False,
5,kirisame_marisa,touhou|touhou_(pc-98)|cookie_(touhou)|curiosities_of_lotus_asia|touhou_lostword,13379,4827,0.767744,1.0,False,
6,sakayori_iroha,cho_kaguya-hime!|world_is_mine_(vocaloid)|vocaloid|watashi_ga_koibito_ni_nareru_wake_naijan_murimuri!|lycoris_recoil,5404,5404,0.724255,1.0,False,
7,trailblazer_(honkai:_star_rail),honkai_(series)|honkai:_star_rail|mihoyo|genshin_impact|zenless_zone_zero,13238,2827,0.709686,1.0,False,
8,columbina_(genshin_impact),genshin_impact|honkai_(series)|honkai:_star_rail|mihoyo|zenless_zone_zero,5900,4516,0.704604,1.0,False,
9,komeiji_koishi,touhou|touhou_lostword|subterranean_animism|koishi_komeiji's_heart-throbbing_adventure|touhou_hero_of_ice_fairy,9120,3363,0.70038,1.0,False,
10,doodle_sensei_(blue_archive),blue_archive|jujutsu_kaisen|blue_archive_the_animation|stella_sora|comiket_107,11325,2713,0.69608,1.0,False,
11,elysia_(honkai_impact),honkai_(series)|honkai_impact_3rd|honkai:_star_rail|mihoyo|genshin_impact,9741,2998,0.694275,1.0,False,
12,kasane_teto,utau|synthesizer_v|vocaloid|a.i._voice|mesmerizer_(vocaloid),11859,2522,0.693654,1.0,False,
13,frieren,sousou_no_frieren|one-punch_man|chainsaw_man|dungeon_meshi|jujutsu_kaisen,8332,3125,0.68757,1.0,False,
14,cyrene_(honkai:_star_rail),honkai_(series)|honkai:_star_rail|honkai_impact_3rd|mihoyo|genshin_impact,7249,3408,0.686465,1.0,False,
15,wanderer_(genshin_impact),genshin_impact|original|honkai_(series)|honkai:_star_rail|zenless_zone_zero,9972,2594,0.684241,1.0,False,
16,flandre_scarlet,touhou|touhou_lostword|embodiment_of_scarlet_devil|marisa_of_liartop_mountain|mcdonald's,9255,2640,0.680619,1.0,False,
17,hina_(blue_archive),blue_archive|comiket_107|street_fighter|kirby_(series)|pokemon,10133,2348,0.678247,1.0,False,
18,firefly_(honkai:_star_rail),honkai_(series)|honkai:_star_rail|genshin_impact|mihoyo|comiket_107,12585,1708,0.674246,1.0,False,
19,rio_(blue_archive),blue_archive|comiket_107|wuthering_waves|goddess_of_victory:_nikke|arknights,8775,2540,0.674224,1.0,False,
20,raiden_shogun,genshin_impact|honkai_(series)|mihoyo|honkai:_star_rail|original,7925,2655,0.670775,1.0,False,
21,kaguya_(cho_kaguya-hime!),cho_kaguya-hime!|world_is_mine_(vocaloid)|dragon_ball|dragon_ball_z|vocaloid,4095,4095,0.668348,1.0,False,
22,phainon_(honkai:_star_rail),honkai_(series)|honkai:_star_rail|honkai_impact_3rd|mihoyo|original,8413,2326,0.665297,1.0,False,
23,remilia_scarlet,touhou|touhou_lostword|embodiment_of_scarlet_devil|touhou_futanari_scarlet_escape|marisa_of_liartop_mountain,8231,2372,0.665168,1.0,False,
24,rover_(wuthering_waves),wuthering_waves|genshin_impact|honkai:_star_rail|honkai_(series)|mihoyo,7184,2584,0.662238,1.0,False,
25,agnes_tachyon_(umamusume),umamusume|umamusume:_beginning_of_a_new_era|real_life|mega_man_(series)|mega_man_x_(series),7521,2249,0.655667,1.0,False,
26,reze_(chainsaw_man),chainsaw_man|iris_out_(song)|boku_no_hero_academia|hololive|hololive_english,6585,2496,0.653949,1.0,False,
27,artoria_pendragon_(fate),fate_(series)|fate/grand_order|fate/stay_night|honkai_(series)|honkai:_star_rail,8000,1988,0.652271,1.0,False,
28,mika_(blue_archive),blue_archive|blue_archive_the_animation|jujutsu_kaisen|comiket_107|pokemon,8215,1899,0.651474,1.0,False,
29,togawa_sakiko,bang_dream!|bang_dream!_it's_mygo!!!!!|arknights|yumenokessho|sweets_paradise,8803,1727,0.65112,1.0,False,
30,manhattan_cafe_(umamusume),umamusume|umamusume:_beginning_of_a_new_era|real_life|blue_archive|jujutsu_kaisen,7255,2113,0.649382,1.0,False,
31,yuuka_(blue_archive),blue_archive|comiket_107|blue_archive_the_animation|jujutsu_kaisen|stella_sora,7882,1776,0.645207,1.0,False,
32,lumine_(genshin_impact),genshin_impact|mihoyo|honkai_(series)|honkai:_star_rail|zenless_zone_zero,7742,1751,0.643303,1.0,False,
33,runami_yachiyo,cho_kaguya-hime!|vocaloid|world_is_mine_(vocaloid)|bocchi_the_rock!|watashi_ga_koibito_ni_nareru_wake_naijan_murimuri!,3529,3529,0.642267,1.0,False,
34,wise_(zenless_zone_zero),zenless_zone_zero|honkai:_star_rail|honkai_(series)|genshin_impact|mihoyo,6510,2058,0.640629,1.0,False,
35,gardevoir,pokemon|pokemon_legends:_z-a|pokemon_(anime)|poketoon|original,8736,1365,0.640233,1.0,False,
36,izayoi_sakuya,touhou|touhou_tag_dream|embodiment_of_scarlet_devil|touhou_lostword|perfect_cherry_blossom,5961,2205,0.63901,1.0,False,
37,cyrene_(demiurge)_(honkai:_star_rail),honkai:_star_rail|honkai_(series)|honkai_impact_3rd|genshin_impact|mihoyo,4395,2901,0.638788,1.0,False,
38,stelle_(honkai:_star_rail),honkai:_star_rail|honkai_(series)|mihoyo|genshin_impact|honkai_impact_3rd,8001,1505,0.638427,1.0,False,
39,belle_(zenless_zone_zero),zenless_zone_zero|mihoyo|honkai_(series)|honkai:_star_rail|genshin_impact,7021,1801,0.638263,1.0,False,
40,hoshino_(blue_archive),blue_archive|jujutsu_kaisen|pokemon|original|comiket_107,7417,1669,0.638111,1.0,False,
41,asuna_(blue_archive),blue_archive|wuthering_waves|goddess_of_victory:_nikke|comiket_107|vocaloid,7122,1742,0.637517,1.0,False,
42,cloud_strife,final_fantasy|final_fantasy_vii|final_fantasy_vii_remake|final_fantasy_vii:_ever_crisis|final_fantasy_vii:_advent_children,7394,1620,0.6365,1.0,False,
43,gotoh_hitori,bocchi_the_rock!|pokemon|chainsaw_man|minecraft|comiket_107,7388,1611,0.636188,1.0,False,
44,ouro_kronii,hololive|hololive_english|hololive_indonesia|chainsaw_man|fate_(series),6573,1828,0.634671,1.0,False,
45,chihaya_anon,bang_dream!|bang_dream!_it's_mygo!!!!!|sanrio|my_melody_(series)|bang_dream!_girls_band_party!,7872,1370,0.633479,1.0,False,
46,sunny_(omori),omori|utdr_(toby_fox)|deltarune|yume_nikki|undertale,5803,1864,0.627452,1.0,False,
47,ellen_joe,zenless_zone_zero|coca-cola|comiket_107|pokemon|mihoyo,7731,1190,0.62712,1.0,False,
48,trainer_(umamusume),umamusume|original|jujutsu_kaisen|real_life|umamusume:_cinderella_gray,5858,1825,0.626959,1.0,False,
